,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
,,MLK,Y,,1/10/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7620-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,"MANIFOLDED 1/2""",,Y,0,,C   ,OUT-DATED,ATK0O36D      ,
,,MLK,Y,,1/8/92,SPHERE LAUNCHER WITH FAILSAFE,,7619-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,N,4,,C   ,180 DEGREE OPERATOR,ATK0O36N      ,
,Y,MLK,,,1/7/92,EMERGENCY SHUTDOWN & ELECTRIC FAILSAFE,,7618-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES) SR,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,NONE,,N,1,,C   ,,ATK0O36X      ,
,,MLK,,,1/6/92,ELECTRIC REMOTE 2-WAY & ESD,,7617-S,LER,,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK0O377      ,
,,MLK,,,1/6/92,"LINEBREAK, LOW PRESSURE SHUTOFF & ELEC FAILSAFE",,7616-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,,,ROTARY PISTON (S-SERIES),,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,"MANIFOLDED 1/4""",Y,Y,0,,D   ,OUT-DATED,ATK9QY9T      ,
,,MLK,Y,,1/3/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7615-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,COLONIAL,,Y,3,,C   ,,ATK9QYA3      ,
,,MLK,Y,,1/3/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7614-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,COLONIAL,,N,2,,C   ,,ATK9QYAD      ,
,,MLK,,,12/31/91,EMERGENCY SHUTDOWN & 2-WAY PNEUMATIC,,7613-S,LER,,,Y,,,,,,Y,,,,Y,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,,,ROTARY PISTON (DS),,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,NONE,Y,N,0,,B   ,,ATK9QYAN      ,
,,MLK,,,12/31/91,EMERGENCY SHUTDOWN,,7612-S,LER,,,Y,,,,,,,,,,Y,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,ROTARY PISTON (DS),,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,NONE,Y,N,0,,B   ,,ATK9QYAX      ,
,,MLK,,,12/31/91,EMERGENCY SHUTDOWN & ELECTRIC REMOTE 2-WAY,,7611-S,LER,,,Y,,,,,,,,,,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,,,ROTARY PISTON (DS),,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,NONE,Y,N,0,,B   ,,ATK9QYB7      ,
,,MLK,,,12/31/91,EMERGENCY SHUTDOWN,,7610-S,LER,,,Y,,,Y,,Y,,,,,Y,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYBH      ,
,,MLK,,,12/30/91,EMERGENCY SHUTDOWN,,7609-S,LER,,,Y,,,,,Y,,,,,Y,,,Y,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYBR      ,
,,MLK,,,12/30/91,EMERGENCY SHUTDOWN & 2-WAY PNEUMATIC,,7608-S,LER,,,Y,,,Y,,Y,Y,,,,Y,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYC1      ,
,,MLK,,,12/24/91,EMERGENCY SHUTDOWN & 2-WAY PNEUMATIC,,7607-S,LER,,,Y,,,Y,,Y,Y,,,,Y,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,N,0,,C   ,OUT-DATED,ATK9QYCB      ,
,,MLK,,,12/30/91,EMERGENCY SHUTDOWN & 2-WAY PNEUMATIC,,7606-S,LER,,,Y,,,,,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYCL      ,
,,MLK,,,12/24/91,EMERGENCY SHUTDOWN & 2-WAY PNEUMATIC,,7605-S,LER,,,Y,,,,,Y,Y,,,,Y,,,Y,,,,,,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,N,0,,C   ,OUT-DATED,ATK9QYCV      ,
,,MLK,,,12/20/91,ELECTRIC REMOTE 2-WAY,,7604-S,LER,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYD5      ,
,,MLK,,,12/19/91,"LINEBREAK, LOW PRESSURE SHUTOFF & 2WE",,7603-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,ATK9QYDF      ,
,Y,SS,,,3/15/91,CENTRAL HYDRAULIC SYSTEM,,7299-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,,Y,,,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,Y,Y,Y,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,9,,D   ,,AUAQEISR      ,
,,SS,,,3/13/91,LINEBREAK,,7298-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,C   ,OUT-DATED,AUAQEIT1      ,
,,SS,,,3/13/91,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7297-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,,,ROTARY PISTON (DS),,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,,AUAQEITB      ,
,,SS,,,3/12/91,ELECTRIC REMOTE 2-WAY,,7296-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,OUT-DATED,AUAQEITL      ,
,,SS,,,3/12/91,ELECTRIC REMOTE 2-WAY,,7295-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,OUT-DATED,AUAQEITV      ,
,,SS,,,3/11/91,LOW PRESSURE SHUTOFF,,7294-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,SPECIAL,,Y,2,,C   ,OUT-DATED,AUAQEIU5      ,
,,SS,,,3/6/91,LINEBREAK INDICATING & LOW PRESSURE SHUTOFF,,7293-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,C   ,OUT-DATED,AUAQEIUF      ,
,,SS,,,3/6/91,ELECTRIC REMOTE 2-WAY,,7292-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,NONE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",Y,N,0,,D   ,(8) CONTROLS,AUAQEIUP      ,
,Y,SS,,,3/5/91,REGULATING,,7291-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,Y,Y,,,Y,,,,,,,,Y,,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,,Y,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,NONE,,Y,1,,C   ,3 PSI TO OPEN & 15 PSI TO CLOSE,AUAQEIUZ      ,
,,SS,,,3/4/91,LOW PRESSURE SHUTOFF & ELECTRIC FAILSAFE,,7290-S,LER,,,Y,N,,,,Y,,,,,,,Y,Y,Y,,,,,,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,AUASC0ED      ,
,,SS,,,3/1/91,ELECTRIC FAILSAFE,,7289-S,LER,,,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,,AUASC0ER      ,
,,SS,,,2/28/91,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7288-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,NONE,Y,N,0,,B   ,OUT-DATED,AUASC0F1      ,
,,SS,,,2/28/91,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7287-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/2""",,Y,0,,C   ,OUT-DATED,AUASC0FB      ,
,Y,SS,,,3/1/91,EMERGENCY SHUTDOWN,,7286-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES) SR,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,NONE,N,N,0,,B   ,,AUASC0FL      ,
,,SS,,,2/27/91,ELECTRIC REMOTE 2-WAY,,7285-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,B   ,,AUASC0FV      ,
,,SS,,,2/26/91,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7284-S,LER,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,,AUASC0G5      ,
,Y,SS,,,2/25/91,MANUALLY ACTUATED AIR MOTOR POWER PACK,,7283-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY PISTON (S-SERIES),,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,NONE,,Y,0,,C   ,,AUASC0GF      ,
,,SS,,,2/22/91,LOW PRESSURE SHUTOFF,,7282-S,LER,,,Y,,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,SPECIAL,,Y,1,,C   ,OUT-DATED,AUASC0GP      ,
,,SS,,,2/22/91,LINEBREAK & ELECTRIC REMOTE 2-WAY,,7281-S,LER,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,Y,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,OUT-DATED,AUASC0GZ      ,
,,SS,,,3/12/97,MANUAL,,9194-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,GATE (LINEAR),,N,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,AUASC0HB      ,
